long,lat,total,hr,mo,day
-73.979576,40.761093,1.9459101490553132,8,Mar,Sat
-73.988007,40.68259,2.8763855159214247,20,Mar,Fri
-73.98922,40.75787,2.272125885509337,11,Aug,Wed
-73.992378,40.748791,1.8870696490323797,9,Dec,Thu
-73.974144,40.742306,2.5572273113676265,19,Jan,Tue
-73.873093,40.774113,3.5130368634176907,13,Sep,Sun
-73.997795,40.756199,1.791759469228055,19,Dec,Tue
-73.962425,40.776161,2.31451366385932,14,Mar,Wed
-73.986549,40.766869,1.9459101490553132,9,Aug,Sat
-73.948158,40.776176,2.1400661634962708,7,Jun,Mon
-73.974289,40.756718,2.1400661634962708,16,Jan,Thu
-73.981651,40.747051,2.5649493574615367,10,Jul,Sat
-73.974098,40.752911,2.0149030205422647,22,May,Sat
-73.981049,40.769936,2.0794415416798357,13,Aug,Thu
-73.998856,40.72839,3.0017143452315387,0,Oct,Thu
-73.983063,40.756931,2.302585092994046,20,Feb,Wed
-73.977356,40.752602,3.1780538303479458,11,May,Tue
-73.996613,40.760868,2.5649493574615367,1,Dec,Sat
-73.977859,40.725216,2.6026896854443837,1,Jul,Sun
-73.957809,40.766006,2.0149030205422647,12,Nov,Mon
-74.013412,40.704857,2.6741486494265287,17,Dec,Thu
-73.988976,40.737057,2.1972245773362196,20,Dec,Mon
-73.966293,40.762383,1.5686159179138452,10,Feb,Wed
-73.984573,40.769096,2.747270914255491,11,Aug,Fri
-74.00798,40.740349,2.631888840136646,21,Jul,Sat
-73.993546,40.736935,2.3513752571634776,6,Nov,Wed
-73.959496,40.807819,2.379546134130174,9,Feb,Thu
-73.959877,40.758533,1.9459101490553132,19,Sep,Mon
-74.004967,40.716415,2.740840023925201,12,Nov,Tue
-73.990829,40.745598,1.7047480922384253,22,Aug,Sat
-73.977623,40.746265,2.8273136219290276,9,Feb,Sat
-73.990334,40.749153,1.9021075263969205,8,Aug,Wed
-74.003807,40.722214,1.9878743481543455,22,Feb,Sat
-73.977257,40.764111,1.8718021769015913,9,Mar,Tue
-73.994057,40.744118,2.6026896854443837,10,May,Sun
-73.980331,40.720619,2.5952547069568657,22,Jun,Thu
-73.985107,40.719151,2.6026896854443837,21,Jun,Thu
-73.942574,40.711845,3.3826939100975957,1,Feb,Mon
-73.951164,40.774696,2.70805020110221,20,Apr,Sat
-73.98526,40.741814,2.0149030205422647,0,Aug,Sat
-73.989357,40.757946,2.5257286443082556,19,Sep,Sun
-74.00528,40.728725,3.0325462466767075,19,Nov,Tue
-73.968262,40.800014,1.7047480922384253,7,Oct,Mon
-73.959595,40.775333,1.5040773967762742,9,Dec,Wed
-73.978722,40.756603,2.0149030205422647,13,Feb,Thu
-73.996521,40.763527,4.151984341668515,16,Sep,Thu
-73.998398,40.735085,1.5040773967762742,7,Oct,Tue
-73.990303,40.724926,3.0204248861443626,10,Mar,Mon
-73.97731,40.75304,1.791759469228055,14,Sep,Mon
-73.971947,40.794838,2.545531271604435,0,Dec,Fri
-73.994064,40.718307,3.295836866004329,10,Nov,Wed
-73.991394,40.730068,1.8718021769015913,18,May,Fri
-73.975151,40.761284,2.70805020110221,19,Aug,Sat
