time,london_se,long_distance,regional,fourweek,finyear,period
2009-10 Period 09,2.7,5.7,2.3,9,2009,2009.615385
2009-10 Period 10,8.6,13,4.9,10,2009,2009.692308
2009-10 Period 11,3.7,4.5,1.9,11,2009,2009.769231
2009-10 Period 12,2.6,4.3,1.7,12,2009,2009.846154
2009-10 Period 13,1.6,3.8,1.8,13,2009,2009.923077
2010-11 Period 01,1.5,3.8,1.7,1,2010,2010
2010-11 Period 02,1.8,3.4,1.9,2,2010,2010.076923
2010-11 Period 03,2.2,3.6,1.7,3,2010,2010.153846
2010-11 Period 04,2.4,4,1.7,4,2010,2010.230769
2010-11 Period 05,1.6,3.9,1.8,5,2010,2010.307692
2010-11 Period 06,1.9,3.7,1.5,6,2010,2010.384615
2010-11 Period 07,2.1,3.1,1.9,7,2010,2010.461538
2010-11 Period 08,2.8,4.6,2.9,8,2010,2010.538462
2010-11 Period 09,6.7,11.3,4.2,9,2010,2010.615385
2010-11 Period 10,5.7,13.6,6.3,10,2010,2010.692308
2010-11 Period 11,2.2,4.1,2.3,11,2010,2010.769231
2010-11 Period 12,1.8,3.4,2.1,12,2010,2010.846154
2010-11 Period 13,1.8,3.5,2.4,13,2010,2010.923077
2011-12 Period 01,2,4.3,2,1,2011,2011
2011-12 Period 02,1.6,3.3,1.5,2,2011,2011.076923
2011-12 Period 03,2.2,3.6,1.9,3,2011,2011.153846
2011-12 Period 04,2.8,4,1.4,4,2011,2011.230769
2011-12 Period 05,2.6,3.1,2,5,2011,2011.307692
2011-12 Period 06,2.5,4.5,1.8,6,2011,2011.384615
2011-12 Period 07,2,4,2.1,7,2011,2011.461538
2011-12 Period 08,2.5,4.9,2.4,8,2011,2011.538462
2011-12 Period 09,2.5,4.1,2.4,9,2011,2011.615385
2011-12 Period 10,3.1,5.3,2.5,10,2011,2011.692308
2011-12 Period 11,2.6,4.6,2,11,2011,2011.769231
2011-12 Period 12,2.7,3.8,1.8,12,2011,2011.846154
2011-12 Period 13,2,2.5,1.6,13,2011,2011.923077
2012-13 Period 01,2.1,3.4,1.6,1,2012,2012
2012-13 Period 02,2.5,4.4,1.9,2,2012,2012.076923
2012-13 Period 03,2.3,3.3,1.6,3,2012,2012.153846
2012-13 Period 04,1.7,5.1,2.2,4,2012,2012.230769
2012-13 Period 05,2.2,3.9,2.7,5,2012,2012.307692
2012-13 Period 06,1.5,2.8,2.1,6,2012,2012.384615
2012-13 Period 07,1.9,4.2,2.9,7,2012,2012.461538
2012-13 Period 08,2.4,4.2,2.5,8,2012,2012.538462
2012-13 Period 09,3.2,8.6,3.8,9,2012,2012.615385
2012-13 Period 10,3.4,7.1,3.9,10,2012,2012.692308
2012-13 Period 11,4.3,7.7,3.4,11,2012,2012.769231
2012-13 Period 12,2.7,4.8,2,12,2012,2012.846154
2012-13 Period 13,2.7,4.3,2.2,13,2012,2012.923077
2013-14 Period 01,2.5,3,1.4,1,2013,2013
2013-14 Period 02,1.8,2.6,1.6,2,2013,2013.076923
2013-14 Period 03,1.7,3.6,1.7,3,2013,2013.153846
2013-14 Period 04,2.1,4.6,2.2,4,2013,2013.230769
2013-14 Period 05,2.4,5.2,2.2,5,2013,2013.307692
2013-14 Period 06,2.4,4.5,1.8,6,2013,2013.384615
2013-14 Period 07,2.1,4,1.8,7,2013,2013.461538
2013-14 Period 08,4.3,6.4,2.4,8,2013,2013.538462
2013-14 Period 09,3.4,6.8,4,9,2013,2013.615385
2013-14 Period 10,6.9,7.7,3.6,10,2013,2013.692308
2013-14 Period 11,3.8,4.4,2,11,2013,2013.769231
2013-14 Period 12,4.8,8.3,3.1,12,2013,2013.846154
2013-14 Period 13,2.6,3.5,2.1,13,2013,2013.923077
2014-15 Period 01,2.3,2.5,1.5,1,2014,2014
2014-15 Period 02,2.6,3.9,1.8,2,2014,2014.076923
2014-15 Period 03,2.7,3.3,1.6,3,2014,2014.153846
2014-15 Period 04,2.6,4,2.3,4,2014,2014.230769
2014-15 Period 05,3.5,5.3,2.6,5,2014,2014.307692
2014-15 Period 06,2.5,4.2,2,6,2014,2014.384615
2014-15 Period 07,2.9,5,1.9,7,2014,2014.461538
2014-15 Period 08,3.5,6.2,2.9,8,2014,2014.538462
2014-15 Period 09,3.5,5.3,2.6,9,2014,2014.615385
2014-15 Period 10,4,6.1,2.1,10,2014,2014.692308
2014-15 Period 11,3.8,4.9,2,11,2014,2014.769231
2014-15 Period 12,2.9,3.1,1.6,12,2014,2014.846154
2014-15 Period 13,3,3.7,1.6,13,2014,2014.923077
2015-16 Period 01,3.4,4.2,1.9,1,2015,2015
2015-16 Period 02,2.7,3.1,1.6,2,2015,2015.076923
2015-16 Period 03,3.1,3.4,1.9,3,2015,2015.153846
2015-16 Period 04,3.5,4.4,2,4,2015,2015.230769
2015-16 Period 05,3.5,4.4,2,5,2015,2015.307692
2015-16 Period 06,3,3.8,1.7,6,2015,2015.384615
2015-16 Period 07,2.9,3.8,1.8,7,2015,2015.461538
2015-16 Period 08,3.7,5.1,2.3,8,2015,2015.538462
2015-16 Period 09,4.4,8.9,3.6,9,2015,2015.615385
2015-16 Period 10,4.4,5.2,2.2,10,2015,2015.692308
2015-16 Period 11,3.4,3.7,2,11,2015,2015.769231
2015-16 Period 12,3.6,4.3,2.1,12,2015,2015.846154
2015-16 Period 13,3.3,5.2,1.9,13,2015,2015.923077
2016-17 Period 01,2.9,4.4,1.9,1,2016,2016
2016-17 Period 02,4,3.4,1.7,2,2016,2016.076923
2016-17 Period 03,7.4,5.6,2.4,3,2016,2016.153846
2016-17 Period 04,5.5,4.8,2,4,2016,2016.230769
2016-17 Period 05,4.3,4,2.2,5,2016,2016.307692
2016-17 Period 06,5,6,2,6,2016,2016.384615
2016-17 Period 07,4.2,3.1,1.6,7,2016,2016.461538
2016-17 Period 08,5,4.8,2.5,8,2016,2016.538462
2016-17 Period 09,6.8,8.1,3.8,9,2016,2016.615385
2016-17 Period 10,4.5,4.3,2.6,10,2016,2016.692308
2016-17 Period 11,4.5,3.9,1.9,11,2016,2016.769231
2016-17 Period 12,4.3,6,2.8,12,2016,2016.846154
2016-17 Period 13,3.5,3.5,1.6,13,2016,2016.923077
